Question,Answer
"When will I be charged?","On some trips, you can book instantly, while on others, drivers prefer to review each booking request they receive. If the ride is an Instant Booking, you'll be charged immediately. If you send a booking request, you'll only be charged once the driver accepts your booking request. Once your booking is confirmed, you'll receive a confirmation email, and you can find all the details of your booking and journey in Your Rides."
"How does payment work for the driver?","If your ride goes as planned, the driver is automatically paid or can request their payout on the BlaBlaCar platform. Regardless of how far in advance you book, the driver can only receive payment 24 hours after the departure time. If a driver sends you a payment link via BlaBlaCar messaging or outside our platform before a booking is confirmed, please inform us by going to the Member Profile and selecting Report this member."
"Payment when sending booking requests","When you send a booking request for a carpooling ride, the payment method you've chosen sets aside the money for the ride - this is a payment authorization - so that the amount is available when the driver confirms your booking request. If your booking request is accepted, the payment authorization becomes an actual charge, and the amount is deducted from your account. If your booking request is declined or expires, the authorization will disappear or appear as a refund in your account; this may take up to 7 days, depending on your bank."
"How can I pay?","We accept various payment methods depending on the country where your bank account is located: Paypal, Visa or MasterCard, Vouchers (usable for bus rides only). At the payment stage, we'll show you the available payment methods before booking, as different methods might be available for bus and carpooling trips. BlaBlaCar will never ask you for your login or payment information outside the BlaBlaCar platform. If a driver asks for information before booking a ride, exercise caution." 
"How to pay with PayPal","Here's how to pay for your booking via PayPal: Once you've selected your ride, choose PayPal as the payment method; You'll be redirected to the PayPal homepage; Log in to your PayPal account; Once logged into your PayPal account, review the payment amount and details; Satisfied? Click on Pay Now. You'll be redirected back to BlaBlaCar, where you'll find all the details of your booking and your driver's phone number. You'll receive two confirmation emails: one from PayPal and another from us!"
"Why was my account debited if my carpooling reservation isn't confirmed?","If your booking request is declined by a driver or expires, you won't be debited for the ride or service fees. What might appear as a debit is actually a pre-authorization. When you make a booking request for a ride, we place a temporary pre-authorization on your payment method for the total amount of the ride. This authorization is temporary and will disappear shortly. If the debit still appears on your bank statement after 7 days, you should contact your bank for further information."
"I can't log in to PayPal","If you're having trouble logging into your PayPal account, go directly to the PayPal homepage and click on 'Can't log in?' on the login page. Enter the email address of your PayPal account to receive a new password. If you don't remember the email associated with your account, PayPal will help you find it. If you still can't log into your PayPal account, try contacting PayPal or create a new PayPal account. Remember that with BlaBlaCar, you always have the option to pay with a credit card or receive payments via bank transfer."
"Why is there a pre-authorization on my payment method when I send a booking request?","When you send a booking request for a ride, we place a temporary pre-authorization on your payment method for the total amount of the ride. The payment method you've chosen sets aside this amount so that it's available when the driver confirms your booking request. If your booking request is accepted, the pre-authorization becomes a charge, and the amount is deducted from your account. If your booking request is declined or expires, the pre-authorization disappears or appears as a refund on your payment method - this may take up to 7 days, depending on your bank. If the debit still appears on your statement after 7 days, you should contact your bank for further information."
"Why was I charged twice 1 € for a reservation?","When you add a credit card, we may request two 1€ withdrawals to verify its validity. However, these are only withdrawal authorizations; we don't actually withdraw these amounts. If your bank account is located outside the European Union, this payment authorization may be displayed for a longer period, but it won't last more than 10 days."
"Why was I charged twice for the same reservation?","What might appear as an extra or duplicate charge on a ride is most likely a temporary pre-authorization or a refunded charge on your bank statement, depending on your location or the payment method used."
"I couldn't complete payment","If your credit card payment was declined, it means no amount was debited. First, make sure you've correctly entered your credit card information. If the payment still doesn't work, it's possible that the payment failure is due to a temporary banking issue. Try making the payment again from a different BlaBlaCar platform. If the payment still doesn't work, contact your bank to check the usage conditions of your credit card. Also, know that you can pay for your reservations with PayPal. As of now, you can pay for your reservations with Visa or Mastercard credit or debit cards. If you don't have one of these cards, consider asking around, maybe from a friend or family member. Reloadable prepaid cards are also available commercially."
"Is online payment secure?","We work tirelessly to ensure that you can enter your payment information and communicate with other members of the BlaBlaCar community securely. Our website and applications are secure, encrypted, and we moderate and block potentially harmful messages. There are two ways to ensure that payment on our site is secure: The presence of a small padlock icon in your browser's address bar; The https:// protocol indicating that the URL is secure."
"How do service fees work?","To help BlaBlaCar operate its platform and create a trusted community, we charge passengers service fees when a booking is confirmed. Once your booking is confirmed, your payment method is debited for the full amount of the booking, including service fees. You'll receive a booking confirmation email, and you can find the details of your booking and journey in Your Rides. If the driver cancels the reservation after confirmation, the booking amount, including service fees, is automatically refunded to you."
"How are service fees calculated?","The amount of the service fees is calculated based on the price set by the driver for their ride. Passengers viewing the listings see the total price they need to pay to book the ride. The driver receives exactly the amount corresponding to the price set when creating their ride. We don't deduct service fees from the ride price."
"When will I receive my refund?","If your reservation status qualifies for a refund, you'll automatically receive your refund within 10 business days, or sooner, through the same payment method you used. We'll process your refund once you've canceled your reservation or when a claim related to it has been processed. However, your bank or credit card issuer may take more time to deliver it to you, depending on your place of residence and payment method."
"Where to find the refund amount?","You can find the status of your refund in the Payments & Refunds section of your profile. The refund amount is sent to you immediately, but the time you'll receive it depends on your place of residence and the payment method you used."
"I can't see the status of my refund","If the refund status doesn't appear on your profile, it's possible that the driver declined your booking request and you weren't debited."
"Refunding service fees","As long as a booking request hasn't been confirmed, you can cancel it, and you won't be charged for the ride or service fees. However, if you cancel your reservation after it's been confirmed, your reservation is subject to the conditions of our cancellation policy. If the driver cancels after the reservation is confirmed, you'll automatically be refunded the ride price, including service fees."
"How to receive a refund via PayPal","We'll automatically refund you via PayPal if that's the payment method you used. You can check the status of your refund via the Payments & Refunds page in your Profile. Note that the refund for your booking may take up to 10 business days (excluding weekends and holidays) depending on the payment method linked to your PayPal account."
"Can I exchange a voucher for cash?","BlaBlaCar bus vouchers are non-refundable and cannot be exchanged for cash value. If you want to receive cash reimbursement for a voucher issued due to an exceptional situation or a cancellation on our part, contact us, and we'll review your request in accordance with our General Terms and Conditions, Passenger Rights on Buses."
"How to cancel a booking request","As long as a booking request is pending acceptance, you can cancel it and won't be charged for the ride or service fees. Simply select the relevant booking request in Your Rides > Cancel the booking and follow the instructions."
"When can you get compensation or a refund?","It depends on who decided to cancel the ride and at what point the cancellation occurred."
"What happens if I cancel more than 24 hours before the departure time?","We provide you with a full refund, except for the service fees."
"What happens if I cancel within 24 hours before the scheduled departure time?","If you made your booking more than 24 hours in advance, we provide you with a 50% refund, excluding service fees. We also pay the driver 50% of the booking amount because the cancellation occurs shortly before the ride. If you made your booking within 24 hours before the ride and you cancel it within 30 minutes, we offer you a full refund, except for the service fees."
"What happens if I don't show up on the day of departure?","We still pay the driver the full amount of the booking. Drivers don't have to wait indefinitely for passengers, so it's essential to remember to cancel your booking if you can't travel as planned."
"What happens if the driver cancels or doesn't show up?","Cancellations are rare, but when they happen, we provide you with a full refund, including service fees. If the driver doesn't cancel the ride online, report it to us within 24 hours of the scheduled departure time."
"What happens if the driver didn't cancel the ride when they should have?","Passengers need to inform us that the ride didn't take place from the Reservations page in their profile within 24 hours of the scheduled departure time. You'll need to choose a reason from the provided options and provide a detailed explanation. We'll give the driver 7 days to confirm or dispute this explanation. In case of confirmation, we provide passengers with a full refund, including service fees. The refunded amount will be the same as if the driver had canceled directly. In case of dispute, we'll ask the driver to provide their version of events. Our team will then handle refunds for both parties according to our cancellation and refund policy. Keep an eye on your emails as we might need more information from you."
"When to contact a driver","Before sending a booking request: you can inquire about luggage or check what's required for traveling with a pet. If you have questions, make sure you're clear about what you intend to ask. We recommend checking the trip comment on the listing to make sure the answer isn't already there. If you need more details from a driver, you can use your Inbox to send messages to drivers or visit the listing in Your Rides."
