Question,Reponse
Comment augmenter vos chances que votre demande de réservation soit acceptée,"En matière de discrimination, nous appliquons une politique de tolérance zéro. Si nous découvrons qu'un conducteur a fait preuve d'un comportement discriminatoire, nous suspendons immédiatement son Profil. Toutefois, nous aimerions vous donner quelques conseils pour augmenter les chances que votre demande de réservation soit acceptée : Nous vous recommandons d'ajouter une photo de votre profil et de remplir votre mini-bio pour faciliter les réservations. Vous pouvez également vérifier votre identité. Pour ce faire, rendez-vous sur Votre Profil > Vérifier une pièce d'identité et faites scanner votre passeport ou votre CNI. Cette fonctionnalité est entièrement sécurisée, ce qui permet aux membres BlaBlaCar de se faire confiance encore plus facilement. Nous vous conseillons vivement de ne créer qu'un seul profil sur BlaBlaCar. Un avis positif après le trajet peut faciliter les réservations futures. C'est pourquoi nous vous recommandons d'utiliser un seul profil pour effectuer vos réservations. De cette façon, vous aurez tous vos avis sur le même profil."
Délai de réponse des conducteurs,"À moins que vous n'ayez trouvé une annonce en Réservation instantanée, le conducteur ou la conductrice doit approuver votre demande de réservation. Les conducteurs disposent de 3 heures pour accepter ou refuser une demande de réservation."
À quel moment aurez-vous des nouvelles du conducteur ou de la conductrice,Les conducteurs disposent de 3 heures pour accepter ou refuser une demande de réservation. Vous pouvez vérifier le statut de la demande de réservation en vous rendant sur la page Vos trajets et en consultant les détails du Plan de route. Vous recevrez également une notification par e-mail avec une mise à jour.
Quand contacter un conducteur ,"Avant d'envoyer une demande de réservation : vous pouvez vous renseigner sur les bagages ou vérifier ce qui est nécessaire pour voyager avec un animal de compagnie. Si vous avez des questions, assurez-vous que vous êtes au clair avec ce que vous comptez demander. Nous vous recommandons de vérifier le commentaire de trajet de l'annonce pour être sûr⋅e que la réponse ne s'y trouve pas déjà. Si vous avez besoin de plus de détails de la part d'un conducteur, vous pouvez utiliser votre Boîte de réception pour envoyer des messages aux conducteurs ou vous rendre sur l'annonce dans Vos trajets."
Si vous n'avez pas de réponses de la part des conducteurs,"Si le conducteur ou la conductrice ne répond pas à votre demande de réservation dans le temps imparti, celle-ci expire et vous ne serez pas facturé(e). Si un conducteur semble injoignable, envisagez de contacter d'autres membres qui proposent un trajet. Gardez à l'esprit que la disponibilité de chacun n'est pas la même, un membre peut par exemple être pris par son travail."
Si le conducteur vous demande de payer ailleurs que sur BlaBlaCar,"Si vous avez payé pour un trajet en dehors de BlaBlaCar (ex : par virement bancaire) et que le trajet n'apparaît pas dans la section Vos trajets, vous avez peut-être payé pour une réservation frauduleuse. Pour obtenir de l'aide, contactez-nous immédiatement."
Identifier les tentatives de fraude,"Ne communiquez jamais vos coordonnées (numéro de téléphone, adresse e-mail) avant qu'une réservation ne soit confirmée, et examinez toujours attentivement les e-mails prétendant provenir de BlaBlaCar. Il peut s'agir d'hameçonnage si vous recevez un e-mail ou un lien qui semble provenir de BlaBlaCar ou d'un autre site de confiance. Ces messages sont conçus pour vous inciter à fournir des informations confidentielles telles que des mots de passe ou d'autres adresses e-mail ; ou d'avance de frais si un conducteur propose de vous payer ou de vous donner quelque chose si vous payez via une plateforme extérieure à BlaBlaCar."
Si vous ne pouvez pas envoyer un message à un conducteur,"Voici les raisons qui peuvent expliquer pourquoi vous ne pouvez pas envoyer de message : Votre message est en cours de modération (notre équipe s'en occupe au plus vite !), Nous ne l’avons pas envoyé parce qu’il ne respecte pas nos règles de rédaction, Votre réseau ou votre connexion sont insuffisants, Le trajet a eu lieu il y a plus de 20 jours, Le conducteur ou la conductrice a refusé votre demande, Il n'y a plus de place pour ce trajet, Le trajet a lieu dans moins de 15 minutes. Si vous pensez que vous n'arrivez pas à envoyer un message pour une autre raison, contactez-nous."
Contacter un conducteur sans avoir réservé,"À moins que vous n'ayez trouvé un trajet en acceptation automatique, vous devrez demander à un conducteur d'accepter votre demande de réservation. C'est une bonne idée d'envoyer un message au conducteur avant de réserver, car il peut répondre à toute question supplémentaire concernant son trajet. "
Covoiturage pour mon enfant,"Tous les passagers doivent avoir plus de 18 ans pour créer un compte sur BlaBlaCar. Cependant, si vous avez un enfant qui doit voyager, vous pouvez réserver un trajet pour lui en utilisant votre compte. Nous vous recommandons de contacter le conducteur afin de vous assurer qu'il est à l'aise avec le transport de mineurs. Les enfants de moins 13 ans doivent toujours être accompagnés d'un tuteur légal ou d'un adulte ayant l'autorisation d'un tuteur légal pour les trajets nationaux et internationaux. Un jeune enfant doit voyager dans un siège auto spécial adapté à son âge et à sa taille, ou sur un rehausseur s'il est un peu plus âgé. Vous devez réserver un siège pour vous et l'enfant. Seuls les enfants de plus de 13 ans peuvent voyager seuls avec une autorisation parentale."
Existe-t-il des tarifs réduits pour les enfants,"Un enfant occupe une place à part entière, qu'il ait besoin d'un siège auto ou qu'il utilise une ceinture de sécurité comme tout autre passager·ère. C'est pourquoi il n'y a pas de tarif réduit pour les enfants voyageant en covoiturage ou en bus. C'est au passager ou à la passagère qui accompagne l'enfant de s'assurer qu'il dispose de l'équipement adéquat (siège auto, rehausseur, adaptateur de ceinture de sécurité)."
Puis-je transporter un coli,"Pour des raisons de sécurité, il n’est pas autorisé d’organiser le transport de colis ou d’objets sans accompagnement."
Puis-je emmener mon animal avec moi,"Les animaux peuvent voyager en covoiturage, sous certaines conditions : Ils voyagent en compagnie de leur propriétaire ; Le conducteur ou la conductrice accepte de voyager avec eux - cette information figure sur leur trajet"
Comment payer pour mon animal de compagnie,"Si votre animal de compagnie prend de la place ou voyage en cage, il vous faudra peut-être réserver une place supplémentaire. Par ailleurs, les propriétaires d’animaux doivent veiller à fournir le matériel et les documents nécessaires à leur voyage (laisse, carnet de santé, etc.)."
Comment obtenir ma facture,"Juste après avoir réservé votre covoiturage ou votre trajet en bus, vous recevrez un e-mail de confirmation de réservation. Recherchez Votre réservation pour votre voyage ou Votre reçu de paiement pour votre réservation dans votre boîte de réception. Cet email est conçu pour contenir toutes les informations dont vous avez besoin pour demander le remboursement de vos dépenses, comme notre numéro de TVA. Si vous ne trouvez pas cet e-mail dans votre boîte de réception, vérifiez qu'il ne s'est pas glissé dans vos Spams ou dans le dossier Promotions."
À quel moment suis-je débité,"Sur certains trajets, vous allez pouvoir réserver instantanément alors que sur d'autres, les conducteurs ou conductrices préfèrent étudier chaque demande de réservation qui leur sont faites.Si le trajet est en Réservation instantanée, vous êtes immédiatement débité. Si vous envoyez une demande de réservation, vous ne serez débité qu'une fois que le conducteur ou la conductrice aura accepté votre demande de réservation. Une fois que votre réservation est confirmée, vous recevrez un e-mail de confirmation et vous pourrez retrouver tous les détails de votre réservation et de votre voyage dans Vos trajets. "
Comment se passe le paiement côté conducteur,"Si votre trajet se déroule comme prévu, le conducteur est automatiquement payé ou peut demander son virement sur la plateforme BlaBlaCar. Peu importe combien de temps à l'avance vous réservez, le conducteur ne peut recevoir son paiement uniquement 24 heures après l'heure de départ. Si un conducteur vous envoie un lien de paiement via la messagerie BlaBlaCar ou en dehors de notre plateforme avant qu'une réservation ne soit confirmée, veuillez nous en informer en vous rendant sur le Profil du membre et en sélectionnant Signaler ce membre."
Paiement lors de l'envoi de demandes de réservation,"Lorsque vous envoyez une demande de réservation pour un trajet en covoiturage, la méthode de paiement que vous avez choisie met de côté l'argent pour le trajet -il s'agit d'une autorisation de paiement- afin que le montant soit disponible lorsque le conducteur ou la conductrice confirme votre demande de réservation. Si votre demande de réservation est acceptée, l'autorisation de paiement devient un débit réel et le montant est prélevé sur votre compte. Si votre demande de réservation est refusée ou expire, l'autorisation disparaîtra ou apparaîtra sous forme de remboursement sur votre compte, cela peut prendre jusqu'à 7 jours, en fonction de votre banque."
Comment puis-je payer,"Nous acceptons différentes méthodes de paiement en fonction du pays dans lequel se trouve votre compte bancaire : Paypal, Visa ou MasterCard, Bons d'achat (utilisables en bus uniquement). Au moment du paiement, nous vous indiquerons les méthodes de paiement disponibles avant de réserver, car différentes méthodes peuvent être disponibles pour les trajets en bus et en covoiturage. BlaBlaCar ne vous demandera jamais vos informations de connexion ou de paiement en dehors de la plateforme BlaBlaCar. Si un conducteur vous demande des informations avant la réservation d'un trajet, soyez prudent."
Comment payer via PayPal,"Voici comment payer votre réservation via PayPal : Une fois votre trajet sélectionné, choisissez PayPal comme moyen de paiement ; Vous serez redirigé·e vers la page d’accueil de PayPal ; Connectez-vous à votre compte PayPal ; Une fois connecté·e à votre compte PayPal, vérifiez le montant et les détails du paiement ; Satisfait(e) ? Allez sur Payer Maintenant. Vous serez de nouveau redirigé(e) vers BlaBlaCar où vous retrouverez tous les détails de votre réservation ainsi que le numéro de téléphone de votre conducteur. Vous recevrez deux e-mails de confirmation : un de PayPal et un autre de notre part !"
Pourquoi mon compte a t-il été débité si ma réservation en covoiturage n'est pas confirmée,"Si votre demande de réservation est refusée par un conducteur ou expire, vous ne serez débité·e ni de ce trajet, ni des frais de service. Ce qui peut ressembler à un débit est en réalité une autorisation de prélèvement. Lorsque vous effectuez une demande de réservation pour un trajet, nous retenons sur votre méthode de paiement une autorisation temporaire de prélèvement correspondant au montant total du trajet. Cette autorisation n'est que temporaire et disparaîtra sous peu. Si le débit apparaît toujours sur votre relevé bancaire après 7 jours, vous devez contacter votre banque qui sera en mesure de vous apporter davantage d'informations."
Je n'arrive pas à me connecter à Paypal,"Si vous rencontrez des difficultés pour vous connecter à votre compte PayPal, rendez-vous directement sur la page d’accueil de PayPal puis sur “Vous n’arrivez pas à vous connecter ?” depuis la page de connexion. Entrez l’adresse e-mail de votre compte PayPal afin de recevoir un nouveau mot de passe. Si vous ne vous souvenez plus de l’adresse associée à votre compte, PayPal vous aidera à la retrouver. Si vous n’arrivez toujours pas à vous connecter à votre compte PayPal, essayez de contacter PayPal ou créez un nouveau compte PayPal. N’oubliez pas qu’avec BlaBlaCar  vous avez toujours la possibilité de payer grâce à une carte bancaire ou de recevoir vos paiements via virement bancaire."
Pourquoi y a-t-il une préautorisation sur ma méthode de paiement quand j'envoie une demande de réservation ,"Lorsque vous effectuez une demande de réservation pour un trajet, nous retenons sur votre méthode de paiement une autorisation temporaire de prélèvement correspondant au montant total du trajet. La méthode de paiement que vous avez choisie met alors cette somme de côté afin qu'elle soit disponible lorsque le conducteur confirme votre demande de réservation. Si votre demande de réservation est acceptée, l'autorisation de prélèvement devient un débit et le montant est prélevé sur votre compte. Si votre demande de réservation est refusée ou expire, l'autorisation de prélèvement disparaît ou apparaît comme un remboursement sur votre méthode de paiement - cela peut prendre jusqu'à 7 jours, selon votre banque. Si le débit apparaît toujours sur votre relevé après 7 jours, vous devez contacter votre banque qui sera en mesure de vous apporter davantage d'informations."
Pourquoi m'a-t-on facturé deux fois 1 € pour une réservation,"Lorsque vous enregistrez une carte bancaire, nous pouvons demander deux retraits de 1€ pour vérifier sa validité.Il ne s’agit cependant que d’autorisations de retrait : nous ne retirons pas ces sommes. Si votre compte bancaire est domicilié ailleurs que dans l’Union européenne, cette autorisation de paiement peut s’afficher pour une plus longue période, mais elle ne durera pas plus de 10 jours."
Pourquoi on m'a facturé deux fois sur une même réservation,"Ce qui peut s'apparenter à un débit en trop ou en double sur un trajet est très probablement une autorisation temporaire de prélèvement ou un débit remboursé sur votre relevé bancaire, en fonction du lieu où vous vous trouvez ou de la méthode de paiement utilisée."
Je n'ai pas pu payer,"Si votre paiement par carte bancaire a été refusé, cela signifie qu'aucun montant n'a été débité. Dans un premier temps, assurez-vous d'avoir bien renseigné les informations de votre carte bancaire. Si le paiement ne fonctionne toujours pas, il est possible que l'échec de paiement soit lié à un problème bancaire temporaire. Essayez de renouveler votre paiement depuis une autre plateforme BlaBlaCar. Si le paiement ne fonctionne toujours pas, contactez votre banque pour vérifier les conditions d’utilisation de votre carte bancaire. Enfin, sachez également que vous pouvez payer vos réservations avec PayPal. À ce jour, vous pouvez payer vos réservations avec des cartes de crédit ou de débit Visa ou Mastercard. Si vous ne possédez pas l’une de ces cartes, n’hésitez pas à demander autour de vous, à un(e) ami(e) ou un membre de votre famille, par exemple. Des cartes prépayées rechargeables existent également dans le commerce."
Le paiement en ligne est-il sécurisé,"Nous travaillons sans relâche pour nous assurer que vous pouvez saisir vos informations de paiement et communiquer avec les autres membres de la communauté BlaBlaCar de façon sûre. Notre site et nos applications sont sécurisés, cryptés et nous modérons et bloquons tout message potentiellement dangereux. Il existe deux moyens de vous assurer que le paiement sur notre site est sécurisé : La présence d’un petit cadenas dans la barre de votre navigateur ; Le protocole https:// qui indique que l’URL est sécurisée."
Comment fonctionnent les frais de service,"Pour aider BlaBlaCar à faire fonctionner sa plateforme et créer une communauté de confiance, nous facturons aux passagers des frais de service lorsqu'une réservation est confirmée. Une fois votre réservation confirmée, votre méthode de paiement est débitée pour l'intégralité du montant de la réservation, y compris les frais de service. Vous recevrez un email de confirmation de réservation et vous pourrez trouver les détails de votre réservation et de votre trajet dans Vos trajets. Si le conducteur ou la conductrice annule la réservation après sa confirmation, le montant de la réservation, y compris les frais de service, vous est automatiquement remboursé."
Comment sont calculés les frais de service,Le montant des frais de service est calculé à partir du prix que le conducteur ou la conductrice fixe pour son trajet. Les passagers qui consultent les annonces voient le prix total qu'ils ou elles devront payer pour réserver le trajet. Le conducteur ou la conductrice reçoit exactement le montant correspondant au prix fixé lors de la création de son trajet. Nous ne déduisons pas les frais de service du prix du trajet.
Quand vais-je recevoir mon remboursement,"Si le statut de votre réservation vous permet d'y avoir droit, vous recevrez automatiquement votre remboursement sous 10 jours, voire plus tôt, via la même méthode de paiement que vous avez utilisée. Nous émettrons votre remboursement dès que vous aurez annulé votre réservation ou que la réclamation concernant celle-ci aura été traitée. Cependant, votre banque ou l'émetteur de votre carte de crédit peut prendre plus de temps à vous le faire parvenir, selon votre lieu de résidence et votre méthode de paiement."
Où trouver le montant de mon remboursement,Vous trouverez le statut de votre remboursement dans la rubrique Paiements et remboursements de votre profil. Le montant de votre remboursement vous est envoyé immédiatement mais le moment où vous le recevrez dépend de votre lieu de résidence et de la méthode de paiement que vous avez utilisée.
Je ne peux pas voir le statut de mon remboursement,"Si le statut de votre remboursement n'apparaît pas sur votre profil, il est possible que le conducteur ait décliné votre demande de réservation et que vous n'ayez pas été débité."
Remboursement des frais de service,"Tant qu'une demande de réservation n'a pas été confirmée, vous pouvez l'annuler et vous ne serez pas débité·e pour le trajet, ni des frais de service. Mais si vous annulez votre réservation après qu'elle a été confirmée, votre réservation sera soumise aux conditions de notre politique d'annulation. Si le conducteur ou la conductrice annule après que la réservation est confirmée, vous serez automatiquement remboursé·e du prix du trajet, frais de service inclus. "
Comment recevoir un remboursement via PayPal,Nous vous rembourserons automatiquement  via PayPal si c'est la méthode de paiement que vous avez utilisée. Vous pouvez consulter le statut de votre remboursement via la page Paiements & remboursements de votre Profil. Sachez que le remboursement de votre réservation peut prendre jusqu'à 10 jours ouvrés (hors week-end et jours fériés) selon la méthode de paiement liée à votre compte PayPal.
Puis-je Eéchanger un bon d'achat contre de l'argent,"Les bons d'achat BlaBlaCar bus ne sont pas remboursables et ne peuvent pas être échangés contre leur valeur en espèces. Si vous souhaitez obtenir le remboursement en espèces d'un bon d'achat émis suite à une situation exceptionnelle ou d'une annulation de notre part, contactez-nous et nous étudierons votre demande conformément à nos Conditions générales, Droits des passagers en bus."
Comment annuler une demande de réservation,"Tant qu'une demande de réservation est en attente d'acceptation, vous pouvez l'annuler et ne serez pas débité pour ce trajet, ni des frais de service. Il vous suffit de sélectionner la demande de réservation concernée dans Vos trajets > Annuler la réservation et de suivre les instructions."
Quand peut-on bénéficier d’une compensation ou d’un remboursement,Tout dépend de qui a décidé d’annuler le trajet et à quel moment l’annulation a eu lieu.
Que se passe-t-il si j'annule plus de 24 heures avant l’heure de départ,Nous vous remboursons intégralement à l’exception des frais de service
Que se passe-t-il si j'annule dans les 24 heures avant l’heure de départ prévue,"Si vous avez effectué votre réservation plus de 24 heures en avance, nous vous remboursons à hauteur de 50 %, hors frais de service. Nous versons au conducteur ou à la conductrice 50 % du montant de la réservation également, car l’annulation intervient peu de temps avant le trajet. Si vous avez effectué votre réservation dans les 24 heures précédant le trajet et que vous annulez celle-ci dans les 30 minutes, nous vous remboursons intégralement à l’exception des frais de service."
Que se passe-t-il si je ne me présente pas le jour du départ,"Nous versons tout de même au conducteur ou à la conductrice l’intégralité du montant de la réservation. Les conducteurs et conductrices n’ont pas à à attendre leurs passagères et passagers indéfiniment, c’est pourquoi il est essentiel de penser à annuler sa réservation si vous ne pouvez pas voyager comme prévu."
Que se passe-t-il si le conducteur ou la conductrice annule ou ne se présente pas,"Les annulations sont rares, mais lorsque cela arrive, nous vous remboursons intégralement, frais de service inclus. Si le conducteur ou la conductrice n'annule pas son trajet en ligne, signalez-le nous dans les 24 heures suivant l'heure du départ prévu."
Que se passe-t-il si le conducteur ou la conductrice n’a pas annulé le trajet alors qu’il ou elle aurait dû,"Il est nécessaire que les passagères et passagers nous disent que le trajet n’a pas eu lieu depuis la page Réservations de leur profil et ce, dans les 24 heures suivant l’heure de départ prévue. Il faudra choisir une raison parmi celles proposées et nous apporter une explication détaillée. Nous laisserons 7 jours au conducteur ou à la conductrice pour confirmer ou contester cette explication. En cas de confirmation, nous remboursons intégralement les passagères et passagers, frais de service compris. La somme remboursée sera la même que si le conducteur ou la conductrice avait annulé directement. En cas de contestation, nous lui demanderons de nous donner sa propre version des faits. Notre équipe s’occupera alors de rembourser chacun et chacune en fonction de notre politique d’annulation et de remboursement. Surveillez régulièrement vos e-mails, nous pourrions avoir besoin de plus d’informations de votre part."
